taskName,slideNum,qnNum,corrAns,qnText
S-CLAS,slide-02,Q01,tree1,Which tree is the tallest?
S-CLAS,slide-03,Q02,ball,Which picture here does not belong?
S-CLAS,slide-04,Q03,slow,The cheetah is fast. The tortise is _?
S-CLAS,slide-05,Q04,heavy,The feather is light. The rock is _?
S-CLAS,slide-06,Q05,sunny,Jia Hui and her family are on a holiday. She is excited because it is a perfect day for the beach. What do you think the weather is like?
S-CLAS,slide-07,Q06,tweezers,What do you use for plucking?
S-CLAS,slide-08,Q07,she,"Sally went to the supermarket. Touch the picture that says ""She is carrying some carrots""."
S-CLAS,slide-09,Q08,played,Choose a sentence that describes what Jack did yesterday.
S-CLAS,slide-10,Q09a,on,The cat is _ the chair.
S-CLAS,slide-11,Q09b,under,The bear is _ the table.
S-CLAS,slide-12,Q09c,cup,What is between the flowers and books?
S-CLAS,slide-13,Q10,P,"Here is the word ""pen"". What is the letter of the beginning sound?"
S-CLAS,slide-14,Q11,N,"For this word ""pen"", what is the letter of the ending sound?"
S-CLAS,slide-15,Q12,monkey,"Which word starts with the same sound as ""moose""? Is it ""monkey"" or ""goose""?"
S-CLAS,slide-16,Q13,leaf,Which word starts with the same sound as look?
S-CLAS,slide-17,Q14,map,Which word starts with the same sound as mice?
